Company Name,City,Region,Industry Category,Specific Industry,Annual Revenue,Employees,Products/Services,DataPalo/AI Use Case,Website,Contact Email,Phone,Address
Lasvit,Nový Bor,Liberec,Manufacturing,Luxury Glass & Lighting,Not disclosed,200+,Custom light installations for hotels/cruise ships/public spaces,Production data analysis; quality control analytics; sales forecasting for 2200+ global installations,https://www.lasvit.com,info@lasvit.com,,Pod Skalkou Nový Bor
Preciosa,Jablonec nad Nisou,Liberec,Manufacturing,Crystal Glass & Jewelry,$1.6B (2025),3000+,Cut lead crystal glass and jewelry components,Manufacturing optimization; supply chain analytics; 15-plant production coordination; market trend analysis,https://www.preciosa.com,info@preciosa.com,,
ZF Automotive Czech,Jablonec nad Nisou,Liberec,Manufacturing,Automotive Brakes,$424M,1000+,Brake systems for VW/BMW/Rolls-Royce/Škoda,Quality control; defect prediction; supply chain optimization; production efficiency analysis,https://www.zf.com/czech,,,
TI Automotive,Jablonec nad Nisou,Liberec,Manufacturing,Automotive Components,$118M,500+,Car air conditioners and fuel systems,Production analytics; predictive maintenance; supply chain data; quality metrics tracking,https://www.tiautomotive.com,,,
DENSO Manufacturing Czech,Liberec,Liberec,Manufacturing,Automotive HVAC,CZK 4.4B invested,1700+,Automobile air-conditioning units/evaporators/condensers/radiators,Manufacturing data analysis; quality control; predictive maintenance; energy optimization,https://www.denso.com,,,
Sodecia Automotive Liberec,Liberec,Liberec,Manufacturing,Motor Vehicle Parts,Not disclosed,200+,Metal parts for automotive industry,Production efficiency; quality analytics; supply chain optimization,,,,,
JABLOTRON,Jablonec nad Nisou,Liberec,Manufacturing & Tech,Security Technology,Billions CZK,1500+,Security alarms and smart home systems,IoT data analysis; customer behavior analytics; product performance tracking; predictive maintenance,https://www.jablotron.com,info@jablotron.com,+420 483 559 811,Pod Skalkou 4567/33 Jablonec nad Nisou
ATREA,Jablonec nad Nisou,Liberec,Manufacturing,Ventilation Systems,€50M+,450,Heat recovery ventilation units with IoT controls,Energy consumption analytics; predictive maintenance; IoT sensor data analysis; customer usage patterns,https://atrea.eu,atrea@atrea.cz,+420 488 885 500,
AKT Plastikářská Technologie,Jablonec nad Nisou,Liberec,Manufacturing,Automotive Plastics,Not disclosed,300+,Plastic parts for automotive and household equipment,Production quality control; defect prediction; material optimization analytics,https://www.akt-cechy.cz,,,
A.RAYMOND JABLONEC,Jablonec nad Nisou,Liberec,Manufacturing,Automotive Fasteners,Not disclosed,400+,Automotive fastening and assembly solutions,Supply chain analytics; quality control; production optimization,,,,,
