Date,Product,Category,Units_Sold,Price_EUR,Revenue_EUR,Margin_Percent
2025-11-01,ASUS VivoBook 15 Laptop,Laptops,3,639,1917,18
2025-11-01,Lenovo IdeaPad 3 Laptop,Laptops,2,539,1078,16
2025-11-01,Samsung 27" 4K Monitor,Monitors,4,359,1436,22
2025-11-01,LG 24" FHD Monitor,Monitors,6,169,1014,25
2025-11-01,Logitech MX Keys Keyboard,Accessories,8,119,952,35
2025-11-01,Microsoft Ergonomic Keyboard,Accessories,3,75,225,32
2025-11-01,Logitech MX Master 3 Mouse,Accessories,7,99,693,38
2025-11-01,Razer DeathAdder Mouse,Gaming,5,67,335,40
2025-11-01,HyperX Cloud II Headset,Gaming,4,87,348,36
2025-11-01,Secret Lab Gaming Chair,Gaming,1,519,519,28
2025-11-01,Samsung 1TB SSD,Components,9,115,1035,30
2025-11-01,Kingston 16GB DDR4 RAM,Components,6,59,354,33
2025-11-01,NVIDIA RTX 4060 GPU,Components,2,399,798,15
2025-11-01,HP LaserJet Printer,Printers,3,239,717,20
2025-11-01,Epson EcoTank Printer,Printers,2,299,598,18
2025-11-01,Logitech C920 Webcam,Accessories,5,79,395,42
2025-11-01,Anker 7-Port USB Hub,Accessories,12,35,420,45
2025-11-01,WD 2TB External HDD,Storage,7,75,525,28
2025-11-01,SanDisk 128GB Flash Drive,Storage,15,15,225,50
2025-11-01,ASUS AX3000 Router,Networking,4,131,524,26
2025-11-01,Anker 20000mAh Powerbank,Accessories,6,51,306,40
2025-11-01,Dell Inspiron 14 Laptop,Laptops,2,719,1438,17
2025-11-01,Lenovo Tab M10 Tablet,Tablets,3,219,657,22
2025-11-01,ASUS ProArt 27" Monitor,Monitors,1,639,639,19
2025-11-01,Corsair K70 RGB Keyboard,Gaming,3,171,513,32
2025-11-01,Logitech Z333 Speakers,Accessories,4,63,252,38
2025-11-01,APC 1500VA UPS,Networking,2,199,398,24
2025-11-01,HDMI 2.1 Cable 3m,Accessories,18,11,198,55
2025-11-01,XXL Mouse Pad,Gaming,8,23,184,48
2025-11-01,Electronics Cleaning Kit,Accessories,10,7,70,60
2025-11-02,ASUS VivoBook 15 Laptop,Laptops,2,639,1278,18
2025-11-02,Lenovo IdeaPad 3 Laptop,Laptops,3,539,1617,16
2025-11-02,Samsung 27" 4K Monitor,Monitors,3,359,1077,22
2025-11-02,LG 24" FHD Monitor,Monitors,5,169,845,25
2025-11-02,Logitech MX Keys Keyboard,Accessories,6,119,714,35
2025-11-02,Microsoft Ergonomic Keyboard,Accessories,4,75,300,32
2025-11-02,Logitech MX Master 3 Mouse,Accessories,5,99,495,38
2025-11-02,Razer DeathAdder Mouse,Gaming,8,67,536,40
2025-11-02,HyperX Cloud II Headset,Gaming,6,87,522,36
2025-11-02,Secret Lab Gaming Chair,Gaming,2,519,1038,28
2025-11-02,Samsung 1TB SSD,Components,7,115,805,30
2025-11-02,Kingston 16GB DDR4 RAM,Components,5,59,295,33
2025-11-02,NVIDIA RTX 4060 GPU,Components,3,399,1197,15
2025-11-02,HP LaserJet Printer,Printers,2,239,478,20
2025-11-02,Epson EcoTank Printer,Printers,1,299,299,18
2025-11-02,Logitech C920 Webcam,Accessories,4,79,316,42
2025-11-02,Anker 7-Port USB Hub,Accessories,10,35,350,45
2025-11-02,WD 2TB External HDD,Storage,5,75,375,28
2025-11-02,SanDisk 128GB Flash Drive,Storage,12,15,180,50
2025-11-02,ASUS AX3000 Router,Networking,3,131,393,26
2025-11-02,Anker 20000mAh Powerbank,Accessories,5,51,255,40
2025-11-02,Dell Inspiron 14 Laptop,Laptops,1,719,719,17
2025-11-02,Lenovo Tab M10 Tablet,Tablets,2,219,438,22
2025-11-02,ASUS ProArt 27" Monitor,Monitors,0,639,0,19
2025-11-02,Corsair K70 RGB Keyboard,Gaming,5,171,855,32
2025-11-02,Logitech Z333 Speakers,Accessories,3,63,189,38
2025-11-02,APC 1500VA UPS,Networking,1,199,199,24
2025-11-02,HDMI 2.1 Cable 3m,Accessories,14,11,154,55
2025-11-02,XXL Mouse Pad,Gaming,10,23,230,48
2025-11-02,Electronics Cleaning Kit,Accessories,8,7,56,60
2025-11-03,ASUS VivoBook 15 Laptop,Laptops,5,639,3195,18
2025-11-03,Lenovo IdeaPad 3 Laptop,Laptops,4,539,2156,16
2025-11-03,Samsung 27" 4K Monitor,Monitors,6,359,2154,22
2025-11-03,LG 24" FHD Monitor,Monitors,8,169,1352,25
2025-11-03,Logitech MX Keys Keyboard,Accessories,5,119,595,35
2025-11-03,Microsoft Ergonomic Keyboard,Accessories,2,75,150,32
2025-11-03,Logitech MX Master 3 Mouse,Accessories,6,99,594,38
2025-11-03,Razer DeathAdder Mouse,Gaming,12,67,804,40
2025-11-03,HyperX Cloud II Headset,Gaming,9,87,783,36
2025-11-03,Secret Lab Gaming Chair,Gaming,3,519,1557,28
